"rules","support","confidence","coverage","lift","count"
"1","{} => {ChildBks}",0.394,0.394,1,1,1576
"2","{} => {CookBks}",0.4155,0.4155,1,1,1662
"3","{ItalCook} => {ChildBks}",0.06025,0.56046511627907,0.1075,1.42250029512454,241
"4","{ItalCook} => {CookBks}",0.06875,0.63953488372093,0.1075,1.53919346262558,275
"5","{RefBks} => {ArtBks}",0.06325,0.308913308913309,0.20475,1.38526147494757,253
"6","{ArtBks} => {YouthBks}",0.0695,0.311659192825112,0.223,1.30811833294905,278
"7","{ArtBks} => {GeogBks}",0.08125,0.364349775784753,0.223,1.36588482018652,325
"8","{GeogBks} => {ArtBks}",0.08125,0.304592314901593,0.26675,1.36588482018652,325
"9","{ArtBks} => {DoItYBks}",0.0745,0.334080717488789,0.223,1.31140615304726,298
"10","{ArtBks} => {ChildBks}",0.10525,0.471973094170404,0.223,1.1979012542396,421
"11","{ArtBks} => {CookBks}",0.113,0.506726457399103,0.223,1.21955826088833,452
"12","{RefBks} => {YouthBks}",0.08125,0.396825396825397,0.20475,1.66558403704259,325
"13","{YouthBks} => {RefBks}",0.08125,0.34102833158447,0.23825,1.66558403704259,325
"14","{RefBks} => {GeogBks}",0.08175,0.399267399267399,0.20475,1.49678500193964,327
"15","{GeogBks} => {RefBks}",0.08175,0.306466729147142,0.26675,1.49678500193964,327
"16","{RefBks} => {DoItYBks}",0.0925,0.451770451770452,0.20475,1.77338744561512,370
"17","{DoItYBks} => {RefBks}",0.0925,0.363101079489696,0.25475,1.77338744561512,370
"18","{RefBks} => {ChildBks}",0.12825,0.626373626373626,0.20475,1.58978077759804,513
"19","{ChildBks} => {RefBks}",0.12825,0.325507614213198,0.394,1.58978077759804,513
"20","{RefBks} => {CookBks}",0.13975,0.682539682539683,0.20475,1.64269478348901,559
"21","{CookBks} => {RefBks}",0.13975,0.336341756919374,0.4155,1.64269478348901,559
"22","{YouthBks} => {GeogBks}",0.1045,0.438614900314795,0.23825,1.64429203491957,418
"23","{GeogBks} => {YouthBks}",0.1045,0.391752577319588,0.26675,1.64429203491957,418
"24","{YouthBks} => {DoItYBks}",0.10325,0.433368310598111,0.23825,1.70115136643027,413
"25","{DoItYBks} => {YouthBks}",0.10325,0.405299313052012,0.25475,1.70115136643027,413
"26","{YouthBks} => {ChildBks}",0.1475,0.61909758656873,0.23825,1.57131367149424,590
"27","{ChildBks} => {YouthBks}",0.1475,0.374365482233503,0.394,1.57131367149424,590
"28","{YouthBks} => {CookBks}",0.161,0.675760755508919,0.23825,1.62637967631509,644
"29","{CookBks} => {YouthBks}",0.161,0.38748495788207,0.4155,1.62637967631509,644
"30","{GeogBks} => {DoItYBks}",0.101,0.37863167760075,0.26675,1.48628725260353,404
"31","{DoItYBks} => {GeogBks}",0.101,0.396467124631992,0.25475,1.48628725260353,404
"32","{GeogBks} => {ChildBks}",0.14625,0.548266166822868,0.26675,1.39153849447428,585
"33","{ChildBks} => {GeogBks}",0.14625,0.371192893401015,0.394,1.39153849447428,585
"34","{GeogBks} => {CookBks}",0.15625,0.585754451733833,0.26675,1.40975800657962,625
"35","{CookBks} => {GeogBks}",0.15625,0.376052948255114,0.4155,1.40975800657962,625
"36","{DoItYBks} => {ChildBks}",0.1615,0.633954857703631,0.25475,1.6090224814813,646
"37","{ChildBks} => {DoItYBks}",0.1615,0.40989847715736,0.394,1.6090224814813,646
"38","{DoItYBks} => {CookBks}",0.16875,0.662414131501472,0.25475,1.59425783754867,675
"39","{CookBks} => {DoItYBks}",0.16875,0.406137184115523,0.4155,1.59425783754867,675
"40","{ChildBks} => {CookBks}",0.242,0.614213197969543,0.394,1.47825077730335,968
"41","{CookBks} => {ChildBks}",0.242,0.582430806257521,0.4155,1.47825077730335,968
