"rules","support","confidence","coverage","lift","count"
"1","{} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"2","{} => {Trans.=[271,540)}",0.333333333333333,0.333333333333333,1,1,270
"3","{} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"4","{} => {Blush=[0,1]}",1,1,1,1,810
"5","{} => {Nail.Polish=[0,1]}",1,1,1,1,810
"6","{} => {Brushes=[0,1]}",1,1,1,1,810
"7","{} => {Concealer=[0,1]}",1,1,1,1,810
"8","{} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"9","{} => {Bronzer=[0,1]}",1,1,1,1,810
"10","{} => {Lip.liner=[0,1]}",1,1,1,1,810
"11","{} => {Mascara=[0,1]}",1,1,1,1,810
"12","{} => {Eye.shadow=[0,1]}",1,1,1,1,810
"13","{} => {Foundation=[0,1]}",1,1,1,1,810
"14","{} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"15","{} => {Lipstick=[0,1]}",1,1,1,1,810
"16","{} => {Eyeliner=[0,1]}",1,1,1,1,810
"17","{} => {Bag=[0,1]}",1,1,1,1,810
"18","{Trans.=[1,271)} => {Blush=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"19","{Blush=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"20","{Trans.=[1,271)} => {Nail.Polish=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"21","{Nail.Polish=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"22","{Trans.=[1,271)} => {Brushes=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"23","{Brushes=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"24","{Trans.=[1,271)} => {Concealer=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"25","{Concealer=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"26","{Trans.=[1,271)} => {Eyebrow.Pencils=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"27","{Eyebrow.Pencils=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"28","{Trans.=[1,271)} => {Bronzer=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"29","{Bronzer=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"30","{Trans.=[1,271)} => {Lip.liner=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"31","{Lip.liner=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"32","{Trans.=[1,271)} => {Mascara=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"33","{Mascara=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"34","{Trans.=[1,271)} => {Eye.shadow=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"35","{Eye.shadow=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"36","{Trans.=[1,271)} => {Foundation=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"37","{Foundation=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"38","{Trans.=[1,271)} => {Lip.Gloss=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"39","{Lip.Gloss=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"40","{Trans.=[1,271)} => {Lipstick=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"41","{Lipstick=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"42","{Trans.=[1,271)} => {Eyeliner=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"43","{Eyeliner=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"44","{Trans.=[1,271)} => {Bag=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"45","{Bag=[0,1]} => {Trans.=[1,271)}",0.333333333333333,0.333333333333333,1,1,270
"46","{Trans.=[271,540)} => {Blush=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"47","{Blush=[0,1]} => {Trans.=[271,540)}",0.333333333333333,0.333333333333333,1,1,270
"48","{Trans.=[271,540)} => {Nail.Polish=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
