"","Age","Experience","Income","Family","CCAvg","Education","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","EducationNumber","logit.reg.pred"
"1",25,1,49,4,1.6,"Undergrad",0,0,1,0,0,0,1,0.000128278629622735
"3",39,15,11,1,1,"Undergrad",0,0,0,0,0,0,1,0.00000518208841440615
"4",35,9,100,1,2.7,"Graduate",0,0,0,0,0,0,2,0.117204971113758
"6",37,13,29,4,0.4,"Graduate",155,0,0,0,1,0,2,0.00339094476572355
"7",53,27,72,2,1.5,"Graduate",0,0,0,0,1,0,2,0.0237489064447452
"16",60,30,22,1,1.5,"Advanced/Professional",0,0,0,0,1,1,3,0.000251333625543276
"19",46,21,193,2,8.1,"Advanced/Professional",0,1,0,0,0,0,3,0.995286221324416
"20",55,28,21,1,0.5,"Graduate",0,0,1,0,0,1,2,0.000135316911172735
"24",44,18,43,2,0.7,"Undergrad",163,0,1,0,0,0,1,0.0000457309878655637
"31",59,35,35,1,1.2,"Advanced/Professional",122,0,0,0,1,0,3,0.00145336128843563
"32",40,16,29,1,2,"Graduate",0,0,0,0,1,0,2,0.000751584458498881
"34",30,6,18,3,0.9,"Advanced/Professional",0,0,0,0,0,0,3,0.00140433878310722
"35",31,5,50,4,1.8,"Advanced/Professional",0,0,0,0,1,0,3,0.0135236541201468
"36",48,24,81,3,0.7,"Undergrad",0,0,0,0,0,0,1,0.00136104549124676
"37",59,35,121,1,2.9,"Undergrad",0,0,0,0,0,1,1,0.00279227243806786
"39",42,18,141,3,5,"Advanced/Professional",0,1,1,1,1,0,3,0.986975982342699
"42",34,9,60,3,2.3,"Undergrad",0,0,0,0,0,0,1,0.000408655913919056
"43",32,7,132,4,1.1,"Graduate",412,1,0,0,1,0,2,0.763049879835969
"47",39,14,43,3,0.7,"Graduate",153,0,0,0,1,0,2,0.00539970546086795
"48",37,12,194,4,0.2,"Advanced/Professional",211,1,1,1,1,1,3,0.998355178041083
"49",56,26,81,2,4.5,"Advanced/Professional",0,0,0,0,0,1,3,0.0454783267296917
"54",50,26,190,3,2.1,"Advanced/Professional",240,1,0,0,1,0,3,0.988268738640809
"58",56,31,131,2,1.2,"Advanced/Professional",0,1,0,0,0,0,3,0.61626255562091
"59",28,2,93,2,0.2,"Undergrad",0,0,0,0,0,0,1,0.00128296816133993
"62",47,21,125,1,5.7,"Undergrad",112,0,1,0,0,0,1,0.0101184791638049
"63",42,18,22,1,1,"Undergrad",0,0,0,0,0,0,1,0.0000108083277309055
"66",59,35,131,1,3.8,"Undergrad",0,0,0,0,1,1,1,0.00346218933033258
"67",62,36,105,2,2.8,"Undergrad",336,0,0,0,0,0,1,0.0101156998136873
"70",53,29,20,4,0.2,"Undergrad",0,0,0,0,1,0,1,0.0000290936785239606
"71",42,18,115,1,3.5,"Undergrad",0,0,0,0,0,1,1,0.00164116170565329
"72",53,29,69,4,1,"Graduate",0,0,0,0,1,0,2,0.0469618876723537
"74",41,16,85,1,4,"Advanced/Professional",0,0,0,0,1,1,3,0.0109298396615177
"80",50,26,19,2,0.4,"Undergrad",118,0,0,0,1,0,1,0.0000103226748558116
"83",41,16,82,1,4,"Advanced/Professional",0,0,0,0,1,0,3,0.0301516431905583
"91",55,30,118,4,5.6,"Graduate",0,1,0,0,1,0,2,0.71353995326983
"95",65,39,121,1,2,"Undergrad",0,0,0,0,0,0,1,0.00999658126807607
"96",38,12,48,4,0.2,"Advanced/Professional",0,0,0,0,1,0,3,0.0102083529900141
"97",41,15,80,1,5.2,"Undergrad",0,0,0,0,0,0,1,0.000911559155861662
"99",49,23,94,1,0.3,"Undergrad",0,0,0,0,1,0,1,0.000629127041621052
"101",48,23,74,1,1.2,"Undergrad",0,0,0,0,1,0,1,0.00019333636468557
"104",43,18,22,2,0.3,"Graduate",0,0,0,0,1,0,2,0.000702269933225414
"106",24,0,35,3,0.1,"Graduate",0,0,1,0,1,0,2,0.000928092430776928
"108",42,18,43,1,0.7,"Undergrad",136,0,0,0,0,0,1,0.0000448059105627512
"111",41,14,9,3,1,"Graduate",0,0,0,0,0,0,2,0.00115330714200611
"113",40,15,82,3,1,"Undergrad",309,0,0,0,0,0,1,0.00203277645844895
"114",58,34,92,2,2.8,"Undergrad",103,0,0,0,0,0,1,0.00289489985397293
"119",41,16,73,3,3,"Undergrad",0,0,0,0,1,0,1,0.000657623959522071
"120",32,7,112,1,4.6,"Undergrad",366,0,0,0,0,0,1,0.00761093857902692
"121",54,29,12,2,0.2,"Advanced/Professional",0,0,0,0,1,0,3,0.000431878366040883
"122",52,26,38,3,0.9,"Advanced/Professional",0,0,0,0,1,0,3,0.00439281188923322
"125",39,15,78,4,2.4,"Undergrad",118,0,0,0,1,0,1,0.00147214733137729
"139",59,34,42,3,1.5,"Undergrad",0,0,1,1,0,1,1,0.000884794403142189
"141",51,25,31,2,0.4,"Advanced/Professional",161,0,0,0,1,1,3,0.000527024868821682
"145",49,23,70,2,1.5,"Graduate",0,0,0,0,0,0,2,0.0341756155374712
"150",48,22,42,3,2.2,"Graduate",0,0,0,0,0,0,2,0.0115463026537402
"151",46,22,118,2,7.5,"Undergrad",0,0,0,1,1,1,1,0.127126267651819
"154",60,36,22,2,1,"Undergrad",0,0,1,1,1,1,1,0.0000734625554891495
"156",24,0,60,4,1.6,"Undergrad",0,0,0,0,1,0,1,0.000291568727155496
"159",32,6,79,2,1.5,"Advanced/Professional",0,0,0,0,1,1,3,0.00798014331759708
"161",29,0,134,4,6.5,"Advanced/Professional",0,1,0,0,0,0,3,0.921594236292236
"163",38,12,52,1,2,"Undergrad",0,0,0,0,0,0,1,0.0000887578954291406
"164",28,4,70,4,2.6,"Undergrad",0,0,0,0,1,0,1,0.000683643956131928
"166",27,1,43,1,1.5,"Undergrad",0,0,0,0,1,0,1,0.0000224965287356376
"167",25,1,21,3,1,"Graduate",0,0,0,0,0,0,2,0.00161087951599413
"168",33,9,23,3,0.9,"Advanced/Professional",0,0,0,0,1,1,3,0.000338420420971229
"169",50,26,13,4,1,"Undergrad",0,0,0,0,1,0,1,0.0000204599672874166
"172",52,28,11,3,0.4,"Undergrad",0,0,1,0,0,0,1,0.00000841609585484956
"174",58,34,42,4,1.5,"Undergrad",0,0,0,0,1,1,1,0.000045506247635682
"175",42,17,168,2,7.9,"Graduate",0,1,0,0,1,0,2,0.958459660572706
"177",52,25,44,3,1,"Graduate",135,0,0,0,1,0,2,0.0080796532936901
"178",29,3,65,4,1.8,"Graduate",244,0,0,0,0,0,2,0.0735074642691506
"180",62,37,11,1,0.1,"Undergrad",0,0,0,0,1,0,1,0.00000382297601988657
"185",52,26,63,2,1.5,"Graduate",0,0,1,0,1,0,2,0.00667799194116909
"187",48,23,45,1,0.3,"Undergrad",0,0,0,0,1,1,1,0.00000795784561331484
"188",46,21,159,3,1.9,"Advanced/Professional",315,1,0,0,1,0,3,0.926913994260245
"189",64,40,169,2,2.1,"Undergrad",122,0,0,0,1,0,1,0.171407613724635
"190",55,29,112,2,1.4,"Undergrad",0,0,0,0,1,0,1,0.00439904859800047
"191",60,36,93,1,4.3,"Undergrad",0,0,0,0,1,0,1,0.0011977974176704
"192",51,25,29,1,0.3,"Advanced/Professional",140,0,0,0,0,0,3,0.00153401046292381
"193",50,23,85,1,2.67,"Graduate",0,0,0,0,1,0,2,0.0376589278275634
"198",55,31,9,4,0.7,"Undergrad",89,0,0,0,1,0,1,0.0000180654717264155
"201",32,6,29,1,1.9,"Advanced/Professional",0,0,0,0,1,1,3,0.000215789834114109
"203",30,3,68,4,2,"Graduate",0,0,0,0,1,0,2,0.044133572045927
"204",58,34,65,4,2.2,"Undergrad",0,0,0,0,1,0,1,0.000733767101396797
"208",34,10,71,4,0.1,"Graduate",0,0,0,0,0,0,2,0.0596040318670394
"209",40,16,73,4,2.67,"Undergrad",0,0,0,0,1,1,1,0.000294485963111151
"211",51,26,20,2,0,"Undergrad",0,0,0,0,0,0,1,0.0000169755522716502
